"","PLAYER","OWNER","POS.x","DFA","YRS","ACQ","KEEP","TEAM","FPTS","POS.y"
"288","JEFF JANIS","MAKI","WR ","F",0,0,1,"GB",67.9,"WR"
"289","JEFF MAEHL",NA,NA,NA,NA,NA,NA,"PHI",9.4,"WR"
"290","JEREMY HILL","WILL","RB","D",1,34,36,"CIN",193.3,"RB"
"291","JEREMY KERLEY",NA,NA,NA,NA,NA,NA,"NYJ",48.1,"WR"
"292","JEREMY LANGFORD",NA,NA,NA,NA,NA,NA,"CHI",21.8,"RB"
"293","JEREMY MACLIN","NICK","WR","D",1,1,4,"KC",130,"WR"
"294","JEREMY ROSS",NA,NA,NA,NA,NA,NA,"DET",22,"WR"
"295","JEREMY STEWART",NA,NA,NA,NA,NA,NA,"DEN",8.3,"RB"
"296","JERICK MCKINNON","FRED","RB","F",1,0,4,"MIN",58,"RB"
"297","JERMAINE GRESHAM",NA,NA,NA,NA,NA,NA,"ARI",32.8,"TE"
"298","JERMAINE KEARSE",NA,NA,NA,NA,NA,NA,"SEA",72.3,"WR"
"299","JEROME FELTON",NA,NA,NA,NA,NA,NA,"BUF",15,"RB"
"300","JEROME SIMPSON",NA,NA,NA,NA,NA,NA,"SF",19,"WR"
"301","JEROME SMITH",NA,NA,NA,NA,NA,NA,"ATL",5.1,"RB"
"302","JERRICHO COTCHERY",NA,NA,NA,NA,NA,NA,"CAR",67.9,"WR"
"303","JESSE JAMES",NA,NA,NA,NA,NA,NA,"PIT",4.3,"TE"
"304","JIM DRAY",NA,NA,NA,NA,NA,NA,"CLE",18.1,"TE"
"305","JIMMY CLAUSEN",NA,NA,NA,NA,NA,NA,"CHI",8.9,"QB"
"306","JIMMY GAROPPOLO",NA,NA,NA,NA,NA,NA,"NE",53.9,"QB"
"307","JIMMY GRAHAM","BRUCE","TE","D",2,91,105,"SEA",133.8,"TE"
"308","JOE BANYARD",NA,NA,NA,NA,NA,NA,"MIN",21.1,"RB"
"309","JOE FLACCO",NA,NA,NA,NA,NA,NA,"BAL",244.4,"QB"
"310","JOE WEBB",NA,NA,NA,NA,NA,NA,"CAR",0,"QB"
"311","JOEY IOSEFA",NA,NA,NA,NA,NA,NA,"TB",0.4,"RB"
"312","JOHN BROWN","MAKI","WR","F",0,0,1,"ARI",112.2,"WR"
"313","JOHN CONNER",NA,NA,NA,NA,NA,NA,"BUF",4.9,"RB"
"314","JOHN CROCKETT",NA,NA,NA,NA,NA,NA,"GB",3.7,"RB"
"315","JOHN KUHN",NA,NA,NA,NA,NA,NA,"GB",19.5,"RB"
"316","JOHN PHILLIPS",NA,NA,NA,NA,NA,NA,"SD",7.8,"TE"
"317","JOHNNY MANZIEL",NA,NA,NA,NA,NA,NA,"CLE",32.1,"QB"
"318","JOIQUE BELL","MAKI","RB","D",2,4,5,"DET",137.2,"RB"
"319","JONAS GRAY","KT","RB","F",1,67,84,"NE",73.3,"RB"
"320","JONATHAN GRIMES","FRED","RB","F",0,1,1,"HOU",32.6,"RB"
"321","JONATHAN STEWART","KT","RB","D",1,2,2,"CAR",146.1,"RB"
"322","JORDAN CAMERON","MAKI","TE","D",2,1,4,"MIA",88.5,"TE"
"323","JORDAN CAMPBELL",NA,NA,NA,NA,NA,NA,"WAS",0.6,"RB"
"324","JORDAN MATTHEWS","WILL","WR","F",1,5,7,"PHI",142.6,"WR"
"325","JORDAN REED",NA,NA,NA,NA,NA,NA,"WAS",80.5,"TE"
"326","JORDAN THOMPSON",NA,NA,NA,NA,NA,NA,"DET",4.9,"TE"
"327","JORDAN TODMAN",NA,NA,NA,NA,NA,NA,"CAR",7.1,"RB"
"328","JORDY NELSON","JUSTIN","WR","D",2,35,40,NA,NA,NA
"329","JORVORSKIE LANE",NA,NA,NA,NA,NA,NA,"TB",8.8,"RB"
"330","JOSEPH FAURIA",NA,NA,NA,NA,NA,NA,"DET",17.9,"TE"
"331","JOSEPH MORGAN",NA,NA,NA,NA,NA,NA,"NO",12.2,"WR"
"332","JOSEPH RANDLE","MAKI","RB","F",0,1,1,"DAL",147.1,"RB"
"333","JOSH BELLAMY",NA,NA,NA,NA,NA,NA,"CHI",4.2,"WR"
"334","JOSH BOYCE",NA,NA,NA,NA,NA,NA,"NE",5.8,"WR"
"335","JOSH GORDON","ERIC","WR","F",1,100,125,NA,NA,NA
"336","JOSH HARRIS",NA,NA,NA,NA,NA,NA,"PIT",9.9,"RB"
"337","JOSH HILL",NA,NA,NA,NA,NA,NA,"NO",65.8,"TE"
"338","JOSH HUFF","JUSTIN","WR","F",0,1,1,"PHI",21.1,"WR"
"339","JOSH JOHNSON",NA,NA,NA,NA,NA,NA,"CIN",1.7,"QB"
"340","JOSH MCCOWN",NA,NA,NA,NA,NA,NA,"CLE",163,"QB"
"341","JOSH MORGAN",NA,NA,NA,NA,NA,NA,"NO",6.3,"WR"
"342","JOSH ROBINSON",NA,NA,NA,NA,NA,NA,"IND",33.9,"RB"
"343","JULIAN EDELMAN","KT","WR","D",1,4,5,"NE",140.1,"WR"
"344","JULIO JONES","WILL","WR","D",2,167,193,"ATL",190.1,"WR"
"345","JULIUS THOMAS","PHILLY","TE","F",2,4,8,"JAC",101.5,"TE"
"346","JUNIOR HEMINGWAY",NA,NA,NA,NA,NA,NA,"KC",6.3,"WR"
"347","JUSTIN FORSETT","ERIC","RB","F",1,9,11,"BAL",180.5,"RB"
"348","JUSTIN HARDY",NA,NA,NA,NA,NA,NA,"ATL",36.1,"WR"
"349","JUSTIN HUNTER","FRED","WR","F",0,1,1,"TEN",47.7,"WR"
"350","JUWAN THOMPSON",NA,NA,NA,NA,NA,NA,"DEN",15.5,"RB"
"351","KA'DEEM CAREY","FRED","RB","F",0,1,1,"CHI",22.3,"RB"
"352","KAMAR AIKEN",NA,NA,NA,NA,NA,NA,"BAL",45.1,"WR"
"353","KARLOS WILLIAMS",NA,NA,NA,NA,NA,NA,"BUF",21.9,"RB"
"354","KEENAN ALLEN","JUSTIN","WR","F",2,15,21,"SD",133.9,"WR"
"355","KEITH MUMPHERY",NA,NA,NA,NA,NA,NA,"HOU",5,"WR"
"356","KELLEN CLEMENS",NA,NA,NA,NA,NA,NA,"SD",2.8,"QB"
"357","KELLEN DAVIS",NA,NA,NA,NA,NA,NA,"NYJ",4.6,"TE"
"358","KELLEN MOORE",NA,NA,NA,NA,NA,NA,"DET",13.9,"QB"
"359","KELVIN BENJAMIN","PHILLY","QB","D",1,33,35,NA,NA,NA
"360","KENBRELL THOMPKINS",NA,NA,NA,NA,NA,NA,"OAK",17.9,"WR"
"361","KENDALL HUNTER",NA,NA,NA,NA,NA,NA,"SF",23.1,"RB"
"362","KENDALL WRIGHT",NA,NA,NA,NA,NA,NA,"TEN",105.6,"WR"
"363","KENJON BARNER",NA,NA,NA,NA,NA,NA,"PHI",1.9,"RB"
