"","PLAYER","OWNER","POS.x","DFA","YRS","ACQ","KEEP","TEAM","FPTS","POS.y"
"526","RUSSELL WILSON","MAKI","QB","D ",2,126,146,"SEA",299.7,"QB"
"527","RYAN BROYLES",NA,NA,NA,NA,NA,NA,"DET",3.8,"WR"
"528","RYAN FITZPATRICK",NA,NA,NA,NA,NA,NA,"NYJ",140,"QB"
"529","RYAN GRANT",NA,NA,NA,NA,NA,NA,"WAS",8.7,"WR"
"530","RYAN GRIFFIN",NA,NA,NA,NA,NA,NA,"HOU",9.7,"TE"
"531","RYAN HEWITT",NA,NA,NA,NA,NA,NA,"CIN",11.4,"RB"
"532","RYAN HEWITT",NA,NA,NA,NA,NA,NA,"CIN",30.7,"TE"
"533","RYAN LINDLEY",NA,NA,NA,NA,NA,NA,"NE",0.2,"QB"
"534","RYAN MALLETT",NA,NA,NA,NA,NA,NA,"HOU",59.3,"QB"
"535","RYAN MATHEWS","NICK","RB","D",1,36,38,"PHI",106.5,"RB"
"536","RYAN NASSIB",NA,NA,NA,NA,NA,NA,"NYG",3.5,"QB"
"537","RYAN SPADOLA",NA,NA,NA,NA,NA,NA,"ARI",8.1,"WR"
"538","RYAN TANNEHILL","DEREK","QB","F",1,0,4,"MIA",262.7,"QB"
"539","RYAN TAYLOR",NA,NA,NA,NA,NA,NA,"KC",7.9,"TE"
"540","RYAN WILLIAMS",NA,NA,NA,NA,NA,NA,"DAL",18.8,"RB"
"541","SAALIM HAKIM",NA,NA,NA,NA,NA,NA,"NYJ",9.7,"WR"
"542","SAM BRADFORD","PHILLY","QB","F",0,1,1,"PHI",232,"QB"
"543","SAMMIE COATES",NA,NA,NA,NA,NA,NA,"PIT",18.8,"WR"
"544","SAMMY WATKINS","JUSTIN","WR","D ",1,52,55,"BUF",133.4,"WR"
"545","SCOTT CHANDLER",NA,NA,NA,NA,NA,NA,"NE",35.5,"TE"
"546","SCOTT TOLZIEN",NA,NA,NA,NA,NA,NA,"GB",4.6,"QB"
"547","SEAN MCGRATH",NA,NA,NA,NA,NA,NA,"IND",6.3,"TE"
"548","SEAN RENFREE",NA,NA,NA,NA,NA,NA,"ATL",0,"QB"
"549","SEANTAVIUS JONES",NA,NA,NA,NA,NA,NA,"NO",15.6,"WR"
"550","SENORISE PERRY",NA,NA,NA,NA,NA,NA,"CHI",3.1,"RB"
"551","SEYI AJIROTUTU",NA,NA,NA,NA,NA,NA,"PHI",4.1,"WR"
"552","SHANE VEREEN","ERIC","RB","F",2,4,8,"NYG",100.7,"RB"
"553","SHAUN DRAUGHN",NA,NA,NA,NA,NA,NA,"CLE",1.6,"RB"
"554","SHAUN HILL",NA,NA,NA,NA,NA,NA,"MIN",6.3,"QB"
"555","SHONN GREENE",NA,NA,NA,NA,NA,NA,"",25.3,"RB"
"556","STEDMAN BAILEY",NA,NA,NA,NA,NA,NA,"STL",42.4,"WR"
"557","STEFON DIGGS",NA,NA,NA,NA,NA,NA,"MIN",7.4,"WR"
"558","STEPFAN TAYLOR",NA,NA,NA,NA,NA,NA,"ARI",18.8,"RB"
"559","STEVAN RIDLEY","PHILLY","RB","F",0,1,1,"NYJ",40.7,"RB"
"560","STEVE JOHNSON",NA,NA,NA,NA,NA,NA,"SD",85.2,"WR"
"561","STEVE MANERI",NA,NA,NA,NA,NA,NA,"NYJ",1.6,"TE"
"562","STEVE SMITH","HANS","WR","F",1,0,4,"BAL",119.2,"WR"
"563","STEVEN JACKSON","NICK","RB","F",1,1,4,NA,NA,NA
"564","STORM JOHNSON",NA,NA,NA,NA,NA,NA,"JAC",14.5,"RB"
"565","T.J. GRAHAM",NA,NA,NA,NA,NA,NA,"NYJ",10,"WR"
"566","T.J. YELDON",NA,NA,NA,NA,NA,NA,"JAC",146.5,"RB"
"567","T.Y. HILTON","PHILLY","WR","D",2,14,16,"IND",164.2,"WR"
"568","TAIWAN JONES",NA,NA,NA,NA,NA,NA,"OAK",9.3,"RB"
"569","TANDON DOSS",NA,NA,NA,NA,NA,NA,"JAC",8.3,"WR"
"570","TARVARIS JACKSON",NA,NA,NA,NA,NA,NA,"SEA",0.8,"QB"
"571","TAVON AUSTIN",NA,NA,NA,NA,NA,NA,"STL",63.1,"WR"
"572","TAYLOR GABRIEL",NA,NA,NA,NA,NA,NA,"CLE",42.4,"WR"
"573","TAYLOR YATES",NA,NA,NA,NA,NA,NA,"ATL",1.2,"QB"
"574","TED GINN",NA,NA,NA,NA,NA,NA,"CAR",33.8,"WR"
"575","TEDDY BRIDGEWATER","MAKI","QB","F",0,1,1,"MIN",239.4,"QB"
"576","TERRANCE WEST",NA,NA,NA,NA,NA,NA,"CLE",57.6,"RB"
"577","TERRANCE WILLIAMS","HANS","WR","F",2,4,8,"DAL",105.3,"WR"
"578","TERRELLE PRYOR",NA,NA,NA,NA,NA,NA,"CLE",9.8,"WR"
"579","TEVIN COLEMAN",NA,NA,NA,NA,NA,NA,"ATL",128.7,"RB"
"580","THEO RIDDICK",NA,NA,NA,NA,NA,NA,"DET",49.1,"RB"
"581","THOMAS RAWLS",NA,NA,NA,NA,NA,NA,"SEA",2.4,"RB"
"582","TIM HIGHTOWER",NA,NA,NA,NA,NA,NA,"NO",6.8,"RB"
"583","TIM TEBOW",NA,NA,NA,NA,NA,NA,"PHI",0,"QB"
"584","TIM WRIGHT",NA,NA,NA,NA,NA,NA,"TB",6.8,"TE"
"585","TOBY GERHART",NA,NA,NA,NA,NA,NA,"JAC",35.1,"RB"
"586","TODD GURLEY",NA,NA,NA,NA,NA,NA,"STL",132.8,"RB"
"587","TOM BRADY","ERIC","QB","F",1,0,4,"NE",215.9,"QB"
"588","TOM SAVAGE",NA,NA,NA,NA,NA,NA,"HOU",0,"QB"
"589","TOMMY BOHANON",NA,NA,NA,NA,NA,NA,"NYJ",13.4,"RB"
"590","TONY CREECY",NA,NA,NA,NA,NA,NA,"NE",0.2,"RB"
"591","TONY MOEAKI",NA,NA,NA,NA,NA,NA,"ATL",26,"TE"
"592","TONY ROMO","KT","QB","D ",2,16,18,"DAL",268.1,"QB"
"593","TORREY SMITH","BRUCE","WR","D",1,20,21,"SF",113.9,"WR"
"594","TRAVARIS CADET",NA,NA,NA,NA,NA,NA,"NE",11.9,"RB"
"595","TRAVIS BENJAMIN",NA,NA,NA,NA,NA,NA,"CLE",17,"WR"
"596","TRAVIS KELCE","HANS","TE","D",1,18,19,"KC",117.1,"TE"
"597","TRE MASON","MAKI","RB","F",1,7,9,"STL",94.9,"RB"
"598","TRE MCBRIDE",NA,NA,NA,NA,NA,NA,"TEN",2.6,"WR"
"599","TRENT RICHARDSON","JUSTIN","RB","F",1,8,10,"OAK",22.8,"RB"
"600","TREY BURTON",NA,NA,NA,NA,NA,NA,"PHI",7.5,"TE"
"601","TREY MILLARD",NA,NA,NA,NA,NA,NA,"SF",0.6,"RB"
"602","TREY WATTS",NA,NA,NA,NA,NA,NA,"STL",6.9,"RB"
"603","TREY WILLIAMS",NA,NA,NA,NA,NA,NA,"WAS",2.2,"RB"
"604","TROY NIKLAS",NA,NA,NA,NA,NA,NA,"ARI",20.2,"TE"
"605","TY MONTGOMERY",NA,NA,NA,NA,NA,NA,"GB",51.2,"WR"
"606","TYLER CLUTTS",NA,NA,NA,NA,NA,NA,"DAL",14,"RB"
"607","TYLER EIFERT","JUSTIN","TE","F",0,1,1,"CIN",76.8,"TE"
"608","TYLER GAFFNEY",NA,NA,NA,NA,NA,NA,"NE",0,"RB"
"609","TYLER KROFT",NA,NA,NA,NA,NA,NA,"CIN",18.4,"TE"
"610","TYLER LOCKETT",NA,NA,NA,NA,NA,NA,"SEA",57.4,"WR"
"611","TYROD TAYLOR",NA,NA,NA,NA,NA,NA,"BUF",90,"QB"
"612","VANCE MCDONALD",NA,NA,NA,NA,NA,NA,"SF",12.8,"TE"
"613","VERNON DAVIS",NA,NA,NA,NA,NA,NA,"SF",75.3,"TE"
"614","VICK BALLARD",NA,NA,NA,NA,NA,NA,"IND",14.4,"RB"
"615","VICTOR CRUZ","DEREK","WR","F",1,1,4,"NYG",109,"WR"
"616","VINCE MAYLE",NA,NA,NA,NA,NA,NA,"CLE",6,"WR"
"617","VINCENT BROWN",NA,NA,NA,NA,NA,NA,"IND",5.4,"WR"
"618","VINCENT JACKSON","BRUCE","WR","D",2,53,61,"TB",125.8,"WR"
"619","VIRGIL GREEN",NA,NA,NA,NA,NA,NA,"DEN",43.7,"TE"
"620","WALT POWELL",NA,NA,NA,NA,NA,NA,"NYJ",10.1,"WR"
"621","WILL JOHNSON",NA,NA,NA,NA,NA,NA,"PIT",9.6,"RB"
"622","ZAC STACY",NA,NA,NA,NA,NA,NA,"NYJ",18,"RB"
"623","ZACH ERTZ","HANS","TE","F",0,1,1,"PHI",95.8,"TE"
"624","ZACH LINE",NA,NA,NA,NA,NA,NA,"MIN",24.3,"RB"
"625","ZACH METTENBERGER",NA,NA,NA,NA,NA,NA,"TEN",8.8,"QB"
"626","ZACH MILLER",NA,NA,NA,NA,NA,NA,"CHI",5.1,"TE"
"627","ZACH ZENNER",NA,NA,NA,NA,NA,NA,"DET",6.3,"RB"
"628","ZURLON TIPTON",NA,NA,NA,NA,NA,NA,"IND",6.6,"RB"
