playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
Justin Forsett,RB,BAL,RB,BAL,null,9.5622,null,null,null,35,null,null,0.2764,null,null,null,12.302,5.4,5.427,null
Ray Rice,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Jonathan Stewart,RB,CAR,RB,CAR,null,10.2274,null,null,null,30,null,null,0.1289,null,null,null,11.6221,8.0441,3.9596,null
Jordy Nelson,WR,GB,WR,GB,null,16.0175,null,null,null,20,null,null,0.5322,null,null,null,18.462,11.5272,7.8533,null
Gary Barnidge,TE,CLE,TE,CLE,null,13.822,null,null,null,4,null,null,0.9745,null,null,null,16.1872,11.3,3.3817,null
Martellus Bennett,TE,NE,TE,NE,null,12.0445,null,null,null,6,null,null,0.2249,null,null,null,14.6317,8.1999,5.0092,null
DeSean Jackson,WR,WAS,WR,WAS,null,14.6383,null,null,null,27,null,null,0.5083,null,null,null,17.4152,11.8624,5.6042,null
John Carlson,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Eddie Royal,WR,CHI,WR,CHI,null,5.937,null,null,null,82,null,null,0.0956,null,null,null,6.9773,4.72,4.5547,null
Craig Stevens,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Pierre Garcon,WR,WAS,WR,WAS,null,11.2144,null,null,null,39,null,null,0.0646,null,null,null,13.3887,7.5,6.6023,null
Danny Amendola,WR,NE,WR,NE,null,5.4545,null,null,null,90,null,null,0.2351,null,null,null,6.7425,3.86,5.7432,null
Jed Collins,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Danny Woodhead,RB,SD,RB,SD,null,11.5359,null,null,null,24,null,null,0.1694,null,null,null,12.1709,9.7941,4.0234,null
Tim Hightower,RB,NO,RB,NO,null,6.7095,null,null,null,50,null,null,0.3875,null,null,null,11.4892,2.7404,4.8528,null
Marcel Reece,RB,OAK,RB,OAK,null,1.2163,null,null,null,106,null,null,0.1185,null,null,null,1.9114,0,null,null
Matthew Slater,WR,NE,WR,NE,null,0.1481,null,null,null,186,null,null,0.0204,null,null,null,0.3385,0,3.3209,null
Kenny Britt,WR,LA,WR,LA,null,9.3766,null,null,null,52,null,null,0.0966,null,null,null,11.0482,7.5031,6.4718,null
James Casey,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Chase Coffman,TE,IND,TE,IND,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Jared Cook,TE,GB,TE,GB,null,7.707,null,null,null,19,null,null,0.4205,null,null,null,8.7936,6.0095,4.6394,null
Michael Crabtree,WR,OAK,WR,OAK,null,15.5372,null,null,null,21,null,null,0.2577,null,null,null,17.5236,14.01,4.9012,null
Rashad Jennings,RB,NYG,RB,NYG,null,11.6946,null,null,null,21,null,null,0.0408,null,null,null,13.524,8.2171,4.8528,null
Jordan Norwood,WR,DEN,WR,DEN,null,3.5972,null,null,null,111,null,null,0.0604,null,null,null,3.6763,3.36,3.8275,null
Brandon Pettigrew,TE,DET,TE,DET,null,1.0351,null,null,null,76,null,null,0.0504,null,null,null,1.7157,0,null,null
John Phillips,TE,DEN,TE,DEN,null,0.4011,null,null,null,95,null,null,0.0405,null,null,null,0.4532,0.33,null,null
Arian Foster,RB,MIA,RB,MIA,null,12.6991,null,null,null,17,null,null,0.3529,null,null,null,15.4444,9.44,4.5976,null
Josh Freeman,QB,FA,QB,FA,null,0,null,null,null,76,null,null,0,null,null,null,0,0,3.5387,null
Shonn Greene,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
David Johnson,TE,PIT,TE,PIT,null,0.4555,null,null,null,90,null,null,0.0332,null,null,null,0.6365,0.18,null,null
LeSean McCoy,RB,BUF,RB,BUF,null,14.7978,null,null,null,10,null,null,0.7939,null,null,null,18.1175,10.78,3.513,null
Knowshon Moreno,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Bear Pascoe,TE,NE,TE,NE,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Cedric Peerman,RB,CIN,RB,CIN,null,0.0451,null,null,null,139,null,null,0.0383,null,null,null,0.0778,0,null,null
Mark Sanchez,QB,DAL,QB,DAL,null,1.3148,null,null,null,38,null,null,0.1892,null,null,null,2.0694,0.212,2.7513,null
Matthew Stafford,QB,DET,QB,DET,null,18.8789,null,null,null,11,null,null,0.5088,null,null,null,19.7604,15.45,7.044,null
Percy Harvin,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Darrius Heyward-Bey,WR,PIT,WR,PIT,null,4.1711,null,null,null,103,null,null,0.0836,null,null,null,5.9504,2.19,6.0089,null
Jeremy Maclin,WR,KC,WR,KC,null,14.9193,null,null,null,24,null,null,0.2092,null,null,null,17.5762,10.874,6.5542,null
Louis Murphy,WR,TB,WR,TB,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Hakeem Nicks,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Chris Ogbonnaya,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Chase Daniel,QB,PHI,QB,PHI,null,0.4814,null,null,null,48,null,null,0.0246,null,null,null,0.958,-0.01,2.9352,null
Brandon Gibson,WR,NE,WR,NE,null,0.3553,null,null,null,177,null,null,0.0353,null,null,null,0.593,0,3.6474,null
Brian Hoyer,QB,CHI,QB,CHI,null,1.077,null,null,null,40,null,null,0.2847,null,null,null,2.2947,-0.24,7.1089,null
Brandon Tate,WR,BUF,WR,BUF,null,0.0469,null,null,null,191,null,null,0.0469,null,null,null,0.1148,0,3.1159,null
Brian Hartline,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Brandon Myers,TE,TB,TE,TB,null,0.7934,null,null,null,80,null,null,0.0197,null,null,null,1.3138,0,null,null
Antone Smith,RB,NYJ,RB,NYJ,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Falcons,DST,ATL,DST,ATL,null,5.7068,null,null,null,27,null,null,0.2671,null,null,null,6.3186,3.6,5.3574,null
Ravens,DST,BAL,DST,BAL,null,5.9875,null,null,null,26,null,null,0.4068,null,null,null,6.9872,4.5,3.59,null
Bills,DST,BUF,DST,BUF,null,5.343,null,null,null,31,null,null,0.3414,null,null,null,5.6186,5.2,2.0896,null
Panthers,DST,CAR,DST,CAR,null,11.6651,null,null,null,1,null,null,2.2742,null,null,null,14.2,8.9,9.5413,null
Bears,DST,CHI,DST,CHI,null,7.6621,null,null,null,9,null,null,0.0415,null,null,null,10.7319,5.1,7.6739,null
Bengals,DST,CIN,DST,CIN,null,6.6385,null,null,null,20,null,null,0.1082,null,null,null,7.2337,6.2,1.8526,null
Browns,DST,CLE,DST,CLE,null,6.6281,null,null,null,21,null,null,0.3192,null,null,null,7.8012,4.2,6.7022,null
Cowboys,DST,DAL,DST,DAL,null,5.4248,null,null,null,29,null,null,0.0524,null,null,null,5.8116,4.2,4.8725,null
Broncos,DST,DEN,DST,DEN,null,7.6703,null,null,null,8,null,null,0.0119,null,null,null,8.393,7.2,5.8975,null
Lions,DST,DET,DST,DET,null,7.5416,null,null,null,13,null,null,0.1783,null,null,null,8.4674,6.2,4.3295,null
Packers,DST,GB,DST,GB,null,8.5215,null,null,null,5,null,null,0.6993,null,null,null,9.1149,7.4,3.3676,null
Titans,DST,TEN,DST,TEN,null,6.1854,null,null,null,23,null,null,0.0343,null,null,null,6.817,3.3,6.0892,null
Texans,DST,HOU,DST,HOU,null,7.6834,null,null,null,7,null,null,0.0172,null,null,null,7.9372,5.2,2.72,null
Colts,DST,IND,DST,IND,null,7.1549,null,null,null,16,null,null,0.1073,null,null,null,7.693,5.2,7.0087,null
Jaguars,DST,JAC,DST,JAC,null,6.4324,null,null,null,22,null,null,0.2634,null,null,null,6.9147,4.2,4.8768,null
Chiefs,DST,KC,DST,KC,null,8.5648,null,null,null,4,null,null,0.3236,null,null,null,10.9159,5.2,5.4992,null
Rams,DST,LA,DST,LA,null,7.961,null,null,null,6,null,null,0.2842,null,null,null,7.5271,7.2,2.3057,null
Raiders,DST,OAK,DST,OAK,null,5.4546,null,null,null,28,null,null,0.0413,null,null,null,6.795,3.2,4.8861,null
Dolphins,DST,MIA,DST,MIA,null,5.0016,null,null,null,32,null,null,null,null,null,null,6.6744,3,6.8084,null
Vikings,DST,MIN,DST,MIN,null,9.3562,null,null,null,3,null,null,0.813,null,null,null,12.4309,6.4,6.157,null
Patriots,DST,NE,DST,NE,null,7.1305,null,null,null,17,null,null,0.313,null,null,null,7.6593,6.2,3.6176,null
Saints,DST,NO,DST,NO,null,6.6703,null,null,null,19,null,null,0.037,null,null,null,6.7779,5.9,2.6129,null
Giants,DST,NYG,DST,NYG,null,7.6548,null,null,null,10,null,null,0.083,null,null,null,9.9447,5,8.329,null
Jets,DST,NYJ,DST,NYJ,null,7.2384,null,null,null,15,null,null,0.0957,null,null,null,7.3523,5.2,2.9881,null
Eagles,DST,PHI,DST,PHI,null,9.4255,null,null,null,2,null,null,0.465,null,null,null,13.2426,6.1,8.0976,null
Cardinals,DST,ARI,DST,ARI,null,7.4883,null,null,null,14,null,null,0.2916,null,null,null,8.7722,6.2,3.4649,null
Steelers,DST,PIT,DST,PIT,null,7.5572,null,null,null,12,null,null,0.0423,null,null,null,8.1895,4.2,4.7317,null
Chargers,DST,SD,DST,SD,null,6.1527,null,null,null,24,null,null,0.0843,null,null,null,6.9419,4.2,5.2901,null
49ers,DST,SF,DST,SF,null,5.4017,null,null,null,30,null,null,0.2294,null,null,null,7.1488,3.8,7.1188,null
Seahawks,DST,SEA,DST,SEA,null,7.5863,null,null,null,11,null,null,0.0369,null,null,null,8.2593,5.2,2.3677,null
Buccaneers,DST,TB,DST,TB,null,6.9647,null,null,null,18,null,null,0.3104,null,null,null,7.6372,5.3,4.7364,null
Redskins,DST,WAS,DST,WAS,null,6.1493,null,null,null,25,null,null,0.3022,null,null,null,6.793,3.2,5.0199,null
Will Johnson,RB,NYG,RB,NYG,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Zach Miller,TE,CHI,TE,CHI,null,9.7749,null,null,null,15,null,null,1.0362,null,null,null,10.8046,8.53,3.8256,null
Julian Edelman,WR,NE,WR,NE,null,13.8303,null,null,null,29,null,null,0.3767,null,null,null,14.2533,12.0263,4.4396,null
Erik Lorig,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Sam Bradford,QB,MIN,QB,MIN,null,5.7472,null,null,null,33,null,null,2.2992,null,null,null,12.3326,0,14.0486,null
Jimmy Clausen,QB,FA,QB,FA,null,0,null,null,null,76,null,null,0,null,null,null,0,0,3.5387,null
Thad Lewis,QB,SF,QB,SF,null,0,null,null,null,76,null,null,0,null,null,null,0,0,3.5387,null
Colt McCoy,QB,WAS,QB,WAS,null,0.9354,null,null,null,41,null,null,0.2868,null,null,null,1.8068,0.118,6.0356,null
Joique Bell,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
LeGarrette Blount,RB,NE,RB,NE,null,9.0397,null,null,null,38,null,null,0.0424,null,null,null,11.306,4.8932,5.2994,null
Anthony Dixon,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Jonathan Dwyer,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Toby Gerhart,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Ryan Mathews,RB,PHI,RB,PHI,null,12.1785,null,null,null,20,null,null,0.4904,null,null,null,13.745,7.636,3.6406,null
Dexter McCluster,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,3.3854,null
C.J. Spiller,RB,NO,RB,NO,null,5.8727,null,null,null,56,null,null,0.6393,null,null,null,7.1732,4.4373,4.7252,null
James Starks,RB,GB,RB,GB,null,7.9964,null,null,null,45,null,null,0.1547,null,null,null,10.2943,6.1639,4.0234,null
Trindon Holliday,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Ed Dickson,TE,CAR,TE,CAR,null,4.2054,null,null,null,39,null,null,0.1078,null,null,null,6.3171,2.56,4.0475,null
Jim Dray,TE,BUF,TE,BUF,null,1.7258,null,null,null,68,null,null,0.1802,null,null,null,2.8268,0.7,null,null
Garrett Graham,TE,DEN,TE,DEN,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Jimmy Graham,TE,SEA,TE,SEA,null,6.989,null,null,null,23,null,null,0.118,null,null,null,7.7923,4.62,null,null
Jermaine Gresham,TE,ARI,TE,ARI,null,3.1115,null,null,null,52,null,null,0.2349,null,null,null,3.6879,2.0712,4.0475,null
Rob Gronkowski,TE,NE,TE,NE,null,16.0246,null,null,null,1,null,null,1.0521,null,null,null,17.0353,10.9,null,null
Clay Harbor,TE,NE,TE,NE,null,0.7693,null,null,null,82,null,null,0.0424,null,null,null,1.1102,0,null,null
Michael Hoomanawanui,TE,NO,TE,NO,null,1.17,null,null,null,74,null,null,0.1271,null,null,null,1.0661,0.6,null,null
Anthony McCoy,TE,SEA,TE,SEA,null,1.2054,null,null,null,72,null,null,0.0338,null,null,null,1.9598,0,null,null
Dennis Pitta,TE,BAL,TE,BAL,null,2.1527,null,null,null,63,null,null,0.0626,null,null,null,3.4634,0.86,null,null
Tony Moeaki,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Andrew Quarless,TE,DET,TE,DET,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
