"Name","Salary","Pos","Team","Avg","Game","Time","points","positionRank","dropoff","upper","lower","risk"
"Andrew Luck",8300,"QB","Ind",21.406,"Det@Ind","04:25PM",21.5655,2,"0.6938",23.0061,19.56,"7.2572"
"Andrew Turzilli",3000,"WR","Ten",1.5,"Min@Ten","01:00PM",0,192,"0",0,0,"null"
"Andy Dalton",6800,"QB","Cin",20.4,"Cin@NYJ","01:00PM",15.0099,26,"0.7419",16.576,13.128,"7.5536"
"Andy Jones",3000,"WR","Dal",0,"NYG@Dal","04:25PM",0,192,"0",0,0,"2.931"
"Anquan Boldin",4500,"WR","Det",12.636,"Det@Ind","04:25PM",8.5177,59,"0.1064",9.3766,7.0062,"5.6752"
"Anthony Dable",3000,"WR","NYG",0,"NYG@Dal","04:25PM",0,192,"0",0,0,"2.931"
"Anthony Fasano",2500,"TE","Ten",4.181,"Min@Ten","01:00PM",3.314,47,"0.0802",5.5597,1.2,"null"
"Anthony Sherman",3000,"RB","KC",0.544,"SD@KC","01:00PM",0.5471,123,"0.1131",0.9595,0,"4.1175"
"Antonio Andrews",3000,"RB","Ten",8.074,"Min@Ten","01:00PM",1.8093,93,"0.0497",3.2316,0.1,"8.9904"
"Antonio Gates",4200,"TE","SD",13.545,"SD@KC","01:00PM",11.9103,6,"0.3342",14.0893,8.8129,"4.9741"
"Antwan Goodley",3000,"WR","Sea",0,"Mia@Sea","04:05PM",0,192,"0",0,0,"null"
"Arian Foster",5800,"RB","Mia",19.5,"Mia@Sea","04:05PM",13.3491,16,"0.6909",15.9132,9.96,"5.2377"
"Arrelious Benn",3000,"WR","Jax",0,"GB@Jax","01:00PM",0,192,"0",0,0,"null"
"Arthur Lynch",2500,"TE","Atl",0,"TB@Atl","01:00PM",0,109,"0",0,0,"null"
"Asante Cleveland",2500,"TE","SD",0.275,"SD@KC","01:00PM",0.2527,102,"0.0169",0.3872,0,"null"
"Austin Davis",5000,"QB","Cle",8.06,"Cle@Phi","01:00PM",0.0012,75,"0.0012",0.0023,0,"3.5718"
"Austin Hooper",2500,"TE","Atl",0,"TB@Atl","01:00PM",3.5867,45,"0.2361",4.1158,2.4537,"8.389"
"Austin Johnson",3000,"RB","NO",1.49,"Oak@NO","01:00PM",0,142,"0",0,0,"null"
"Austin Seferian-Jenkins",2800,"TE","TB",11.686,"TB@Atl","01:00PM",5.6162,29,"0.1075",6.9679,2.5,"5.4398"
"B.J. Daniels",3000,"WR","Chi",0.585,"Chi@Hou","01:00PM",0,76,"0",0,0,"null"
"B.J. Daniels",3000,"WR","Chi",0.585,"Chi@Hou","01:00PM",0,192,"0",0,0,"null"
"Bear Pascoe",2500,"TE","NE",0,"NE@Ari","08:30PM",0,109,"0",0,0,"null"
"Ben Braunecker",2500,"TE","Chi",0,"Chi@Hou","01:00PM",0.2312,104,"0.049",0.3435,0,"null"
"Ben Koyack",2500,"TE","Jax",0,"GB@Jax","01:00PM",0.4261,91,"0.0118",0.7942,0,"null"
"Benjamin Watson",3500,"TE","Bal",12.344,"Buf@Bal","01:00PM",0,109,"0",0,0,"null"
"Bernard Pierce",3000,"RB","NYJ",0.686,"Cin@NYJ","01:00PM",0,142,"0",0,0,"null"
"Bilal Powell",4300,"RB","NYJ",12.282,"Cin@NYJ","01:00PM",9.0362,40,"0.1457",9.7381,2.8107,"3.5575"
"Bishop Sankey",3000,"RB","Ten",4.477,"Min@Ten","01:00PM",0,142,"0",0,0,"null"
"Blake Annen",2500,"TE","Buf",0,"Buf@Bal","01:00PM",0,109,"0",0,0,"null"
